user_id	item_id	time
1676	1968	2880
1083	2508	3180
1742	3436	3420
2134	4225	4740
1742	3436	6180
1545	2506	8160
690	3972	16200
1608	5595	22440
1084	1501	25020
279	982	26760
1990	982	27600
1389	4341	31020
706	5336	34320
1022	3090	34500
1963	5570	36780
1155	4222	38160
1389	4341	38640
2133	2032	38880
598	2313	40200
1163	1783	40380
566	2828	40740
74	4511	41820
300	4662	41880
651	5222	43680
1281	2672	43800
2190	2821	43800
1111	3848	44160
1963	5206	44280
1742	3192	46020
258	2615	46200
176	2828	46320
196	2938	46440
2120	5458	46800
1111	5206	47820
258	863	49140
1469	2070	49320
926	1773	49380
265	3934	49440
719	199	49500
896	4841	49680
1515	3780	49920
666	408	50400
19	3421	50580
1823	612	50580
1022	729	50700
435	3851	51540
1823	4436	52380
1464	1574	58500
480	1127	59760
1204	3990	60300
2134	5409	60300
1982	5124	60360
203	5138	61080
1802	4881	61260
171	1257	61380
1845	650	61680
845	4044	62100
845	3691	62100
845	433	62100
2002	2615	62100
1344	3127	62640
566	2114	63660
1990	3127	64320
926	1401	64380
1083	1131	64680
1469	4961	64680
719	2065	64920
1111	1094	65160
121	4654	66120
2140	1462	66120
1389	2688	66540
1242	1961	66600
1307	1358	66900
548	3342	67080
346	4481	67380
2016	4961	67440
1576	2792	67500
1676	1049	67680
1344	5436	67980
1990	4846	67980
1845	4582	68280
480	1277	68700
656	5267	68700
548	1442	68820
2104	2045	69060
2315	4980	69120
2075	5164	69780
1027	3424	69960
1267	4144	70440
1576	1738	70560
2191	3598	70620
51	3280	70680
258	5168	70800
2140	4470	70800
1281	3675	70980
1027	743	71100
1396	1442	71160
1676	1884	71280
2104	5212	71880
2109	3863	71880
424	4933	72000
275	416	72300
1354	2969	72300
1184	1264	72420
364	3665	72900
1844	3171	73080
845	5206	73380
1441	1331	73380
518	4030	73440
782	2415	73680
1676	180	73920
523	213	74220
1844	3934	74820
346	1426	77340
900	275	78540
2109	52	79020
2249	1239	79320
845	873	80100
1084	1501	80940
1576	2824	81060
1711	268	81120
1730	3543	82860
580	2283	84540
381	4341	85800
689	5363	86460
938	2722	86760
2134	3973	88440
1811	213	97140
1464	954	106620
1464	2692	106740
1464	473	107280
1464	2420	107340
1464	1727	107520
2111	3440	111000
65	612	112680
2111	3316	113040
65	267	113640
1621	5348	114240
1621	1172	114360
1621	4927	114540
1621	3553	114720
346	2213	115560
1621	2049	117120
258	4139	117300
606	3915	117600
1676	1881	119100
2140	2194	119760
330	4133	120240
400	993	121140
1823	5102	121920
566	4163	122580
566	5121	122640
923	1844	122880
1111	3030	125400
651	4935	125820
719	4908	126300
1775	1417	126300
480	54	128220
2187	5165	128820
2187	2335	128820
144	4228	129780
248	3848	129960
480	537	130620
1281	4967	130680
363	2250	130860
2111	5531	130860
2187	41	130980
19	4755	131580
719	5129	131700
2118	3879	131820
219	180	131940
1633	1504	131940
766	2000	132300
651	2170	132780
272	5143	132960
1267	1773	133020
1945	967	133200
2057	845	133500
1426	192	133860
150	4297	134160
258	3195	134340
19	4693	135360
1945	2745	136080
598	5102	136140
1242	4009	136920
1034	3908	137160
1028	2992	138540
248	967	139020
2057	4674	139560
1384	5198	139680
1242	3563	140160
566	4777	140280
2057	1250	140280
1111	835	141060
1775	4638	141540
677	2615	145260
719	4908	145440
272	1305	145860
1384	5305	146640
845	1593	147060
1656	4519	147180
791	4931	147720
1938	2615	147780
346	3000	148080
346	5236	149460
310	1554	150360
1464	268	150360
760	3971	151020
1464	1574	151260
845	1167	152460
1111	1081	152940
275	2149	153120
65	4941	153360
275	1172	153360
65	1235	153420
65	1053	153540
845	4523	153540
2002	4263	153900
823	3570	153960
1533	4055	154200
65	808	154260
651	4438	154320
1281	2465	154560
1656	2828	154920
363	3060	155040
651	5409	155400
1118	4875	155400
1621	4741	155760
520	1183	156120
1190	827	156180
116	1534	156240
1394	2432	156420
633	1810	156720
1428	503	156720
1742	1884	156960
1441	2017	157200
2319	5448	157200
939	3718	157560
1788	728	157620
1111	2135	157800
1515	2065	157860
606	218	157980
651	1049	157980
2282	4843	157980
1389	4341	158160
971	2470	158220
2111	3316	158340
782	3018	158640
2206	3571	158820
1103	3835	159420
1111	156	159420
2051	1331	159720
1084	705	159960
1650	156	159960
2002	1961	159960
1684	3886	160080
255	2891	160140
258	4633	160320
1684	1566	160560
346	942	160680
2002	5353	160920
1711	328	161040
2075	3018	161100
2002	2525	161220
1084	4953	161280
1084	1566	161340
1206	2506	161580
1394	456	161580
19	5138	162780
65	5383	163440
1699	3996	163620
1098	2321	163740
1281	3571	164640
1811	5158	164700
19	1913	164880
452	3060	164880
1389	3571	164940
1676	5154	166500
1083	334	166920
504	4241	167520
1411	4416	168240
1768	3973	169140
284	2615	169740
1103	5336	170340
1768	145	170340
2134	3571	171600
285	3370	171840
939	747	173580
606	2460	178920
923	2462	178980
690	1764	183960
1464	5524	188100
2250	2251	194580
346	2213	201960
1118	85	202980
2104	1844	203160
719	4908	203400
606	3915	203580
838	5292	203580
926	5147	203940
1022	1602	204120
651	4935	204600
330	4133	205860
196	3589	206040
2250	1445	206160
364	384	206340
196	2729	206460
297	232	207120
2187	1782	207360
363	4530	208020
2111	1412	208320
488	4114	208440
363	799	208500
1742	3398	209160
1281	4967	209400
364	90	211020
150	4297	211380
363	24	211500
1354	4222	212820
2111	5531	214200
346	3000	214920
1945	4492	216180
2187	3269	217680
651	2521	218100
706	4955	218460
1118	4031	218880
258	2994	219060
670	1404	219060
1742	3034	219480
2120	1966	219480
279	1686	219600
1441	5406	220080
518	4275	220320
1389	5267	220320
2100	5406	220740
548	5087	220800
1389	5267	222480
1742	3270	222900
2111	1412	225300
248	927	226740
1676	1393	226740
248	927	227700
363	3606	228720
1034	4997	229020
1768	1940	230700
1676	4190	231540
1083	4293	232140
651	4898	233220
651	2215	233280
1098	558	233280
1630	290	235020
2283	3034	236160
2089	114	237180
2089	943	237180
2109	2913	237300
1083	2631	237780
1441	1060	238200
606	3009	238500
