user_id	item_id	time
113	306	1333485336
585	6542	1333486914
585	6098	1333487381
2278	505	1333487658
2278	2710	1333488512
585	325	1333488879
2278	2421	1333489037
113	45	1333489384
2278	424	1333490031
2278	864	1333490229
495	2795	1333491803
1382	44	1333492199
95	44	1333492267
1309	801	1333492685
1050	6825	1333492828
1341	1384	1333493260
95	664	1333493309
1137	2710	1333493489
1137	2986	1333493537
1956	2325	1333493653
495	1825	1333493667
211	1844	1333493722
13	6225	1333493798
1023	4630	1333493878
1023	3427	1333493908
1058	89	1333493916
1954	466	1333493946
1316	6387	1333494087
1956	2155	1333494160
1382	425	1333494202
13	7083	1333494276
1954	601	1333494331
1023	1384	1333494546
1716	3329	1333494556
1716	3875	1333494569
841	2568	1333494572
606	212	1333494706
935	3937	1333494721
1058	2803	1333494801
1023	302	1333494815
1382	880	1333494924
1956	5248	1333494942
1382	2767	1333494967
1917	657	1333494999
1895	44	1333495108
332	4691	1333495220
1956	47	1333495259
1137	6032	1333495272
1543	1735	1333495273
2004	3838	1333495290
1953	1614	1333495313
1023	2195	1333495336
95	6367	1333495380
1137	5508	1333495417
134	3205	1333495419
1956	2223	1333495528
1953	1744	1333495530
1082	3691	1333495551
935	325	1333495589
1780	4993	1333495645
1956	3410	1333495650
1716	5142	1333495754
1716	2322	1333495770
1341	2398	1333495774
1716	75	1333495800
1780	4572	1333495805
1917	144	1333495876
1956	7164	1333495879
1691	331	1333495917
1736	1929	1333495982
770	142	1333495990
1956	4075	1333496033
1543	3993	1333496108
1611	3493	1333496147
1780	3703	1333496191
1956	5131	1333496214
41	471	1333496234
1917	2575	1333496245
1895	2063	1333496258
204	6916	1333496318
814	941	1333496362
1023	2238	1333496370
41	331	1333496385
1628	4070	1333496425
1628	959	1333496469
204	4363	1333496537
204	6415	1333496592
204	6922	1333496631
1691	3846	1333496639
1691	210	1333496652
166	3224	1333496676
553	4605	1333496701
1956	2983	1333496707
419	2545	1333496712
553	44	1333496713
204	6887	1333496715
134	196	1333496717
553	2090	1333496729
386	283	1333496749
3	117	1333496752
1023	143	1333496767
204	939	1333496768
553	2629	1333496791
41	3509	1333496797
2000	302	1333496812
1234	206	1333496833
1333	1619	1333496839
911	2398	1333496848
1234	2809	1333496957
1716	4574	1333497021
925	5989	1333497028
41	3039	1333497036
1716	4686	1333497056
41	5999	1333497220
1234	3013	1333497234
1319	1830	1333497256
2110	1970	1333497258
1023	145	1333497261
1543	852	1333497264
185	44	1333497276
717	111	1333497283
1917	149	1333497286
1716	5533	1333497323
1082	4386	1333497338
1716	950	1333497338
1704	2361	1333497353
1371	6005	1333497365
9	212	1333497367
1082	1738	1333497400
112	44	1333497413
2004	774	1333497444
2110	543	1333497456
1023	281	1333497476
3	222	1333497536
268	2655	1333497571
1860	1675	1333497576
1653	1614	1333497593
1023	422	1333497749
585	5046	1333497768
268	483	1333498000
1472	6583	1333498051
1023	44	1333498059
204	5551	1333498072
1666	176	1333498091
166	4473	1333498178
166	4472	1333498188
418	3605	1333498191
611	273	1333498193
332	2795	1333498203
553	6815	1333498323
421	313	1333498333
553	3628	1333498351
553	7072	1333498381
1680	81	1333498392
553	4946	1333498418
911	3537	1333498429
553	111	1333498435
1680	5686	1333498455
728	145	1333498466
1333	3275	1333498508
421	1924	1333498532
1472	6326	1333498536
1472	2785	1333498555
1465	325	1333498569
268	390	1333498614
728	3572	1333498616
134	3717	1333498656
282	191	1333498672
1126	229	1333498692
2238	481	1333498697
1023	3066	1333498701
553	5659	1333498770
553	2391	1333498784
134	325	1333498788
623	846	1333498802
817	4250	1333498805
134	4176	1333498806
553	1645	1333498815
1500	5805	1333498848
817	750	1333498854
1873	1233	1333498875
2238	566	1333498903
729	111	1333498975
112	1065	1333499072
1913	2905	1333499105
1210	191	1333499116
338	2412	1333499137
159	111	1333499153
623	4405	1333499175
166	1865	1333499185
1666	7388	1333499198
817	210	1333499209
826	664	1333499231
1137	958	1333499253
817	3846	1333499285
611	1929	1333499291
1913	5237	1333499311
636	179	1333499316
332	760	1333499360
817	6999	1333499362
421	4353	1333499370
159	176	1333499396
332	2975	1333499396
1636	1042	1333499424
2272	3862	1333499445
1500	516	1333499503
2000	3346	1333499513
611	5395	1333499532
982	763	1333499544
386	203	1333499600
840	44	1333499733
159	7233	1333499759
1313	5510	1333499775
1313	4144	1333499794
1313	5604	1333499819
1531	558	1333499842
728	77	1333499863
421	3053	1333499867
728	4410	1333499883
991	314	1333499893
338	7443	1333499904
422	6768	1333499934
1471	1929	1333499948
1380	337	1333499958
204	3261	1333499972
728	4236	1333499980
2272	1761	1333499985
1662	2928	1333500020
367	144	1333500063
2246	1076	1333500090
204	3962	1333500111
478	89	1333500130
1313	147	1333500136
1315	4374	1333500140
826	848	1333500155
1313	5256	1333500162
729	144	1333500200
1315	5935	1333500213
354	5032	1333500251
1477	304	1333500268
1662	1163	1333500269
1703	44	1333500320
1930	1193	1333500324
361	4895	1333500331
145	4353	1333500384
1607	101	1333500389
367	142	1333500392
2200	2632	1333500397
2278	177	1333500464
996	260	1333500473
1819	6909	1333500473
85	5686	1333500475
1607	1567	1333500527
1780	6927	1333500549
112	345	1333500552
1510	510	1333500572
1902	1194	1333500627
1926	44	1333500664
112	4258	1333500682
261	111	1333500691
2238	354	1333500704
1780	2451	1333500710
1662	144	1333500733
91	6149	1333500799
2255	2261	1333500829
1636	1433	1333500848
2200	4600	1333500866
405	1614	1333500874
1799	164	1333500903
1949	5390	1333500967
145	3053	1333501006
1636	1933	1333501009
728	1443	1333501070
1818	762	1333501091
2238	322	1333501114
817	3801	1333501156
268	144	1333501180
817	380	1333501248
2238	3699	1333501264
1797	3586	1333501312
817	2800	1333501333
949	5846	1333501366
696	7308	1333501371
1797	5905	1333501389
350	3358	1333501427
1141	6538	1333501436
268	145	1333501446
1648	176	1333501742
2238	203	1333501754
58	3398	1333501783
1301	111	1333501785
1797	5851	1333501789
2238	96	1333501791
1919	2443	1333501809
817	632	1333501814
1001	283	1333501857
42	2183	1333501882
58	5609	1333501893
1543	3448	1333501926
1381	1512	1333501990
1797	3792	1333502003
